execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B2,,,transfer,,,,0xa9059cbb,,135948,1,,0x61f2617406377e4015123289f3ee55f6b95fa6f6fc8597327c53f018fe61f0a8
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B2,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63778,1,,0x6d47c435e989c418327c1f166adc087fa814c7eb338acedefad43fb8338ee829
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B2,,,vote,1,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,82468,1,,0xf25bd593e5bb0af2beece3fa15291ceb4c914aa76ed4900309e0609c1efb460d
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B2,,,execute,,,execute,0x2656227d,WasteCategoryRegistry.updateCredits,60795,1,,0xc3efc980d98dc29933a4c7374783f2f77df425d3f927d0b22ab5079460694ece
2026-09-23T22-00-43-844Z_b1-b4,V1,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,deploy_governor_V1,,,constructor,0x6101c080,,2141155,1,,0x8f62eddf5d8ad4258df9266a5c51968e7727ddcba61a93cdee6c0c03b62b74b8
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xfdc9a3875129e16eb4a0e6527cfb2e5662449c13660398cf3b7c723db6d0e009
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0xc189311656167d1c4c211ee1c4f5143a8df64ff72cb449ebf7ec77ff2fd0bcbb
2026-09-23T22-00-43-844Z_b1-b4,V1,,,setup,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xd4695df7ceba86e36d8d32ccf756640823a0c1b729cf20e3a0b632c08e38ee6a
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,delegate,,,,0x5c19a95c,,48347,1,,0x9acb423c118e15043f9e2e34c96d2426c281687af73f0edf308face66094a154
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,delegate,,,,0x5c19a95c,,48347,1,,0x387e4a52453e0c8199752d159fd211fc2528edd47f9f19fc721683b865d7943a
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,delegate,,,,0x5c19a95c,,48347,1,,0xc0d1f1863d5aa5146a1d40c9b491e5fe4ca4d75bdd63af8c2348882efe19d02b
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,delegate,,,,0x5c19a95c,,48347,1,,0x029a4b7fc4cd4056ff4aa85b3b1984dda9ee463a290099a45fa92d3cd4e9a540
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,transfer,,,,0xa9059cbb,,135960,1,,0x5cc378525775fe65b7c6291e6e3d02b2bc58de2dbd6a8dc2e4de91b60603358e
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,transfer,,,,0xa9059cbb,,135960,1,,0x44a59eb546bcea8228b22594c2ac933e89df0de1e4d07b01ec8c366bb23a9a70
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,transfer,,,,0xa9059cbb,,135960,1,,0xc8bf412fb663b7b325df69146736bc0d5d336b11324f70d25dec5914faa34112
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,transfer,,,,0xa9059cbb,,135972,1,,0x1a9d2386bea55bda7701c6e4cf12309c09485d0105b1280a729f12a2ef53569f
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63790,1,,0xe86db984ad0b3452351bb7ddcf7ebada9ef8381ba295fbdf2b4eaccc9350bcdb
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,vote,1,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,82468,1,,0x16e12a7930cfbc7707151b2173a3b42ad6d9461dafa66ca6f8a82e97cf710349
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,vote,2,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,65368,1,,0x83a1683f4ac7af0060401a610a2c219e90b3b45130c01bbecb659ecb638595c7
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,vote,3,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,65368,1,,0x51d45ed62a295081e98ea0da8cd9ac867f558bf13412221745849bb2d8dafce6
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B3,,,vote,1,against,castVote,0x56781388,WasteCategoryRegistry.updateCredits,82416,1,,0xd8043c2b686670feadf587fe39d37257bf2a4538999767c176159f34e9b94c77
2026-09-23T22-00-43-844Z_b1-b4,V1,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,deploy_governor_V1,,,constructor,0x6101c080,,2141155,1,,0x8f62eddf5d8ad4258df9266a5c51968e7727ddcba61a93cdee6c0c03b62b74b8
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xfdc9a3875129e16eb4a0e6527cfb2e5662449c13660398cf3b7c723db6d0e009
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0xc189311656167d1c4c211ee1c4f5143a8df64ff72cb449ebf7ec77ff2fd0bcbb
2026-09-23T22-00-43-844Z_b1-b4,V1,,,setup,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xd4695df7ceba86e36d8d32ccf756640823a0c1b729cf20e3a0b632c08e38ee6a
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B4,,,delegate,,,,0x5c19a95c,,48347,1,,0x2b56deb108dcd7464660ff91924c6c230d74ae8c46a42e9ef8f8cf88bcd238e9
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B4,,,transfer,,,,0xa9059cbb,,135960,1,,0xda32aa4502a911ac636a32f612c63d707d31bdcd703aa663da5b490c86200fc0
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B4,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63790,1,,0x783e2c4297de7b7763804ddf4adce3e7a28ef88da4288dd2b1d65959540a34b2
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B4,,,vote,1,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,82468,1,,0x872fbbee0c907de62ecd08ae9e45e3d370ac5938125e125a4749030926ade893
