execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,vote,1,for,,0x56781388,,82468,1,,0x2f03e547dea2851637cb9dabe56a22815bafe8330b2fd7f4d9ea9c9212b97a21
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,vote,2,for,,0x56781388,,65368,1,,0x951724a76a1455e6c0c9703d2a3c54303049c4f17b16735b8a86372c3cec65d2
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,vote,3,for,,0x56781388,,65368,1,,0xdcb55cbb0c95cbd5c8b8930b01d2793e8302065380d793490121ae85ed150fa1
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,vote,4,for,,0x56781388,,65368,1,,0x165896c642f9622c3d729231967ee77021d63712485a23053b6585d00ddfd4b6
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,execute,,,execute,0x2656227d,WasteCategoryRegistry.updateCredits,60847,1,,0xb179ed8670a44b1fa603b7131d6a0034d09afa6ee209fc27dc9d3ab4f7055658
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_rewards_registry_for_ctor,,,constructor,0x60806040,,4590964,1,,0x484f4210d177094deb4832deb5e459c708c732becb1881e1d1417503c177d84a
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_credit,,,constructor,0x60806040,,931954,1,,0xda6265176213799bfac2d03545eb38f6f6d6d978852db5e040dec6bdc95b6a46
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_passport,,,constructor,0x60806040,,2776581,1,,0xe5a36162780b85ac2b217350036da2286056186a02d74234dd0980865a07c217
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_rewards,,,constructor,0x60803461,,1246140,1,,0x748f3eef423a29001e508633e407c909b25f0e6a89b560856468f0ac6655c439
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_stakeholders,,,constructor,0x60803461,,1679823,1,,0xd4be2e468d589ae7e76ff2c292757707613e73c2a9e8f4c774280b5fd0991072
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,deploy_governor_Ref,,,constructor,0x61018060,,4434623,1,,0xd1b6a3d1f944bdfe5c399ebf7a1e6ed8a76e5b5acd93cdfc3d211571cbc50a6e
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0x9477ec21ceecb8e71e570a8e5c711d060981c6dc53217d4071b2c7d012604374
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0x4571f6b2b82c72e95dbfd028346a3c95cee362f1cdc4e946338a9d1e56d58c09
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,4,A-unanime,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xfca7f8e34a7a367a38495092e6c6ae53f6f6bbc6c6cdd047fed83c770b76a8c9
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0x2f1db724527155bbb87015320f4de9a632dd20bb0d57eddcbd649b18207511a9
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48335,1,,0x8b0e52e67c302dbb4252eb6f968ee138c191eb8205be72d37b64b0c5ee99cc0e
2026-09-23T21-53-29-899Z_n-sweep_1-4,Ref,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0x1a5bd05dacedf9e3acc8ca8d92b6aea9cf2aa84f70c77d04dab2d0257070356f
